SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
3001792,"Amazon.com, Inc.",AMZN,2020,42122000.0,66064000.0,22899000.0,48079000.0,-1647000.0,35216000.0,725000.0,321195000.0,386064000.0,,35941000.0,,0.11189775681439625,0.07129313968150189,1.8381235914415293,0.11189775681439625,,0.07129313968150189,1.8381235914415293,0,,0,0.0
3001792,"Amazon.com, Inc.",AMZN,2021,36220000.0,46327000.0,24879000.0,59312000.0,-1809000.0,54944000.0,1043000.0,420549000.0,469822000.0,,55987000.0,,0.1331283631633888,0.05915838582424402,0.8274599460589065,0.1331283631633888,,0.05915838582424402,0.8274599460589065,0,0.0,0,0.0
3001792,"Amazon.com, Inc.",AMZN,2022,53888000.0,46752000.0,13348000.0,55269000.0,-2367000.0,73850000.0,8000000.0,462675000.0,513983000.0,,81850000.0,,0.17690603555411466,0.028849624466418113,0.5711912034208919,0.17690603555411466,,0.028849624466418113,0.5711912034208919,0,0.0,0,0.0
3001792,"Amazon.com, Inc.",AMZN,2023,73387000.0,84946000.0,36852000.0,85515000.0,-3182000.0,64914000.0,147000.0,527854000.0,574785000.0,,65061000.0,,0.12325567297017737,0.06981475938422367,1.3056362490585758,0.12325567297017737,,0.06981475938422367,1.3056362490585758,0,0.0,0,0.0
3001792,"Amazon.com, Inc.",AMZN,2024,78779000.0,115877000.0,68593000.0,120468000.0,-2406000.0,59723000.0,151000.0,624894000.0,637959000.0,,59874000.0,,0.09581465016466793,0.10976741655384753,1.935347563216087,0.09581465016466793,,0.10976741655384753,1.935347563216087,0,0.0,0,
3002287,Textron Inc.,TXT,2020,2146000.0,768000.0,629000.0,1020000.0,-145000.0,3198000.0,,15443000.0,11651000.0,,,,,0.04073042802564269,,,,0.04073042802564269,,0,,0,0.0
3002287,Textron Inc.,TXT,2021,1922000.0,1598000.0,1005000.0,1395000.0,-124000.0,3179000.0,,15827000.0,12382000.0,,,,,0.06349908384406394,,,,0.06349908384406394,,0,0.0,0,0.0
3002287,Textron Inc.,TXT,2022,1963000.0,1488000.0,1112000.0,1509000.0,-94000.0,3175000.0,,16293000.0,12869000.0,,,,,0.06825016878414043,,,,0.06825016878414043,,0,0.0,0,0.0
3002287,Textron Inc.,TXT,2023,2121000.0,1266000.0,1276000.0,1671000.0,-62000.0,3146000.0,,16856000.0,13683000.0,,,,,0.0757000474608448,,,,0.0757000474608448,,0,0.0,0,0.0
3002287,Textron Inc.,TXT,2024,1386000.0,1014000.0,1137000.0,1519000.0,-78000.0,2793000.0,,16838000.0,13702000.0,,,,,0.0675258344221404,,,,0.0675258344221404,,0,0.0,0,
